id;igralec_id;Datum;Seštevanje Pravilni;Seštevanje Napacni;Seštevanje Neodgovorjeni;Odštevanje Pravilni;Odštevanje Napacni;Odštevanje Neodgovorjeni;Množenje Pravilni;Množenje Napacni;Množenje Neodgovorjeni;Deljene Pravilni;Deljene Napacni;Deljene Neodgovorjeni
1;1;18/02/2021 18:22:25;0;0;0;2;0;0;1;0;0;1;0;0
2;1;18/02/2021 18:23:55;0;0;0;0;0;0;1;0;0;0;0;0
